"ISO3","logShelfAreaShallow","logShelfAreaDeep","logCoastLength"
"AGO",8.91597707094082,10.2361216844763,6.43968697434702
"ARE",10.6421540431353,10.6421540431353,6.79996775930905
"ATG",6.88182464510457,7.97414438086984,3.06671937331193
"AUS",12.8810691659645,14.1246708178828,8.92039555731971
"BEN",7.08223554219781,7.4350204653942,3.58849238451126
"BGD",9.57309088113433,10.6374095053814,6.85458648062022
"BHR",8.90439498030941,8.90439498030941,4.47093464631021
"BHS",11.1353247714781,11.1353247714781,6.77078977631717
"BLZ",8.99356641093236,9.31681873031501,5.09552114158101
"BRA",12.2985269083558,13.3205418283307,8.28628634984364
"BRB",2.41894837728025,5.12644416904574,3.36008370710741
"BRN",7.7150739320149,8.8604690858639,4.70433572343198
"CHN",12.1552815466003,13.4932780872434,9.02007397043798
"CIV",7.59430683515356,8.70949086123925,4.49761088978306
"CMR",8.10570393812705,8.85753635290283,4.66422107696301
"COD",6.30425915409252,7.93641587664274,4.8802746931943
"COG",6.76982517453691,8.38569784806451,3.68671845608874
"COL",9.4200920000423,10.4556445202179,7.10694062112576
"CRI",7.61254573477372,9.11824183961658,5.92635393355675
"CUB",10.5422998258483,10.5422998258483,7.37633821577209
"DJI",7.02869983797498,7.02869983797498,5.18725810774357
"DMA",4.55995394202581,5.85864581505201,1.5852491728634
"DOM",7.3311750045998,8.81074667987077,5.80096148801186
"ECU",8.78197647799678,9.77883848982023,5.99851973240542
"EGY",10.6072025423296,10.6072025423296,6.82810790215506
"ERI",10.7688900439773,10.7688900439773,6.653758866552
"GAB",8.3938611387527,9.84074893114007,5.68402112604804
"GHA",8.24346620396864,9.74347244879005,4.53614672524758
"GIN",10.0232404711429,10.5392066892916,4.33113214838339
"GMB",6.93197759856306,8.22808353752146,4.65402540518426
"GNB",10.0648099527031,10.3432682257046,5.54588030522757
"GNQ",7.11955963108387,8.71462479956714,4.46304135963167
"GRD",4.69556340368605,6.58058178251953,2.47398950149243
"GTM",7.19801888590459,9.04095855191966,4.64932824421464
"GUF",9.44337464682252,10.4272759071013,4.80492468632618
"GUY",9.98260527284842,10.6653386913516,4.95861063197364
"HND",10.0511119533142,10.8226748407377,5.91008025822918
"HTI",6.63314178807427,8.33284465689024,5.41479504481828
"IDN",13.1495492904533,14.3939885860724,10.0005098163424
"IND",11.2008646895566,12.6464673632258,8.32835189378594
"IRN",10.1378719916755,10.1378719916755,6.84513478126108
"IRQ",7.06331735660448,7.06331735660448,3.27046616887215
"JAM",8.05818016094544,8.05818016094544,4.89021159094439
"JPN",10.985483414705,10.985483414705,8.42276474830783
"KEN",8.43436309102056,8.43436309102056,5.45844151449411
"KHM",9.38696442209346,10.8096533296112,5.41223224697339
"KOR",11.331809661044,11.331809661044,7.70133604498797
"KWT",9.25911645795128,9.25911645795128,5.78296115932319
"LBR",6.65671157599469,9.44041044902957,3.69509926840322
"LCA",3.3549726634703,5.06849499838197,2.1814401045272
"LKA",9.64329861632556,9.64329861632556,6.85797912200151
"MAR",8.06934901686777,10.2908173308149,7.82233970995252
"MDG",10.2958332232802,11.1470273976332,7.17793699127076
"MEX",12.1037250747254,12.1037250747254,7.60274458977784
"MMR",11.268448867108,11.268448867108,7.70621547332171
"MOZ",10.6074794987242,11.2288973779086,7.26443404311357
"MRT",8.88228091281811,9.743066776257,5.37344730353205
"MYS",11.0133360342561,12.7932750581235,7.87262536423526
"NGA",9.41208145409736,10.2867584876611,5.62531278247816
"NIC",10.592676372363,11.1075272195767,6.00956225346973
"OMN",9.60325006233028,10.7625471891762,7.01110719355073
"PAK",9.05933739707375,10.5104543517339,6.24650608244936
"PAN",9.42389544197778,10.5297087399473,6.46293098842226
"PER",8.32498062256092,9.46672687208146,5.3237377986038
"PHL",11.3255368227949,12.2373192735629,8.8360809948572
"PNG",11.1324247709501,12.038062728705,8.42916657437206
"QAT",10.2893705454135,10.2893705454135,5.36345079990898
"SAU",11.3000294831264,11.3000294831264,7.57158410258625
"SDN",9.50229483550376,9.50229483550376,6.16000977348577
"SEN",8.54385913492732,9.72101746451196,5.67001389793206
"SGP",5.19480612548299,6.83083695101379,4.21290202785609
"SLB",8.86690753363598,8.86690753363598,7.23547219511222
"SLE",9.05083044922647,9.75203090387924,4.51444432085755
"SLV",7.35785381223196,9.30497400661179,4.37879956578366
"SOM",9.38751486198562,10.5312848650389,7.38623113608622
"SUR",8.82358725943569,10.5345251780305,4.79632196469917
"SYC",8.97679628309097,10.2797592465504,4.74213022582834
"TGO",5.60147345880385,6.77818598799914,2.71016479177862
"THA",10.7440438015279,12.3176465671395,7.49853046989961
"TLS",6.86462787947345,9.83362832229736,5.78335646880841
"TTO",8.14725283711808,9.76573814572702,4.95962528308895
"TWN",9.23759313093483,10.591361746807,6.24810340594522
"TZA",9.40833661154002,9.92725206823632,6.71760553988528
"URY",10.0448450795497,11.0192107508741,5.09137141176704
"USA",11.7577285380922,12.929195264585,8.10293786347781
"VCT",5.64787341275688,6.93810991397933,1.69392648051575
"VEN",10.1921511242848,11.3519672283692,7.28790907139263
"VNM",12.0305668821549,12.0305668821549,7.94609534198499
"YEM",9.30035897696967,10.5776285476708,7.03614001174447
"ZAF",7.15383521205478,8.84305030689303,4.10280730068952
